id	section	description	expected	tolerance	tex_source	status	notebook
R1.01	Results 1	GWAS studies analysed	100526	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.02	Results 1	publications	4250	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.03	Results 1	trait ontology terms	9280	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.04	Results 1	therapeutic areas	23	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.05	Results 1	pre-2017 studies >10% non-European (%)	23.2	0.05	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.06	Results 1	by end-2024 studies >10% non-European (%)	35.1	0.05	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.07	Results 1	GWAS credible sets	789453	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.08	Results 1	studies with at least one CS	39282	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.09	Results 1	qualified CSs	520975	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.10	Results 1	qualified disease CSs	70618	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.11	Results 1	qualified measurement CSs	450357	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.12	Results 1	unique variants in CSs	2024916	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.13	Results 1	lead variants	211597	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.14	Results 1	lead variants with PIP >= 0.9	49772	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.15	Results 1	molQTL CSs used for colocalisation	2044305	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.16	Results 1	tissues or cell types	98	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.17	Results 1	CS-gene prioritisations	523409	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.18	Results 1	gene-disease pairs	36858	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.19	Results 1	gene-measurement pairs	150360	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.20	Results 1	unique genes implicated	15641	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.21	Results 1	disease-associated genes	8285	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.22	Results 1	measurement-associated genes	15160	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.23	Results 1	diseases covered	1394	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.24	Results 1	measurements covered	3412	0	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.25	Results 1	protein-coding genes associated (%)	77.9	0.05	results/01_panoramic.tex	pending	02-main/01_panoramic
R1.26	Results 1	genes not from EUR common studies by 2024	2462	0	results/01_panoramic.tex	pending	02-main/01_panoramic
