Therapeutic Area,Root ID,Trait Class,Diseases (qualifying dataset),Diseases (gPS list),% of qualifying diseases,% of gPS diseases
measurement,EFO_0001444,measurement,7010,,,
cancer or benign tumor,MONDO_0045024,disease,350,240,15.09,17.22
"genetic, familial or congenital disease",OTAR_0000018,disease,180,121,7.76,8.68
infectious disease,EFO_0005741,disease,140,53,6.03,3.8
"injury, poisoning or other complication",OTAR_0000009,disease,64,38,2.76,2.73
pregnancy or perinatal disease,OTAR_0000014,disease,17,10,0.73,0.72
disorder of visual system,MONDO_0024458,disease,91,65,3.92,4.66
cardiovascular disease,EFO_0000319,disease,143,102,6.16,7.32
pancreas disease,EFO_0009605,disease,12,10,0.52,0.72
gastrointestinal disease,EFO_0010282,disease,89,53,3.84,3.8
reproductive system or breast disease,OTAR_0000017,disease,71,31,3.06,2.22
integumentary system disease,EFO_0010285,disease,63,40,2.72,2.87
endocrine system disease,EFO_0001379,disease,27,22,1.16,1.58
respiratory or thoracic disease,OTAR_0000010,disease,51,35,2.2,2.51
urinary system disease,EFO_0009690,disease,42,30,1.81,2.15
musculoskeletal or connective tissue disease,OTAR_0000006,disease,109,78,4.7,5.6
disorder of ear,MONDO_0021205,disease,14,10,0.6,0.72
immune system disease,EFO_0000540,disease,29,15,1.25,1.08
hematologic disease,EFO_0005803,disease,13,11,0.56,0.79
nervous system disease,EFO_0000618,disease,146,75,6.29,5.38
psychiatric disorder,MONDO_0002025,disease,15,9,0.65,0.65
nutritional or metabolic disease,OTAR_0000020,disease,25,21,1.08,1.51
sign or symptom,EFO_0003765,disease,43,22,1.85,1.58
other (no area root),other,disease,586,303,25.26,21.74
TOTAL (disease side),,disease,2320,1394,100.0,100.0
